project,round,provisional,eliminated_rules,introduced_rules,sibling_edge_count,has_unresolved_sibling_exchange,interpretation
HealthyPotAssistant,1,False,"{'@performance/dark-color-mode-check': 1, '@performance/foreach-args-check': 4, '@performance/hp-arkui-remove-container-without-property': 1, '@performance/hp-arkui-remove-redundant-state-var': 3, '@performance/hp-arkui-remove-unchanged-state-var': 4, '@performance/init-list-component': 1, '@performance/multiple-associations-state-var-check': 2, '@performance/reuse-date-instances-check': 2, '@security/no-commented-code': 36}",{'@performance/foreach-index-check': 3},5,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
Image,1,False,"{'@performance/avoid-overusing-custom-component-check': 146, '@performance/foreach-args-check': 219, '@performance/hp-arkui-avoid-empty-callback': 6, '@performance/hp-arkui-combine-same-arg-animateto': 1, '@performance/hp-arkui-image-async-load': 4, '@performance/hp-arkui-no-state-var-access-in-loop': 166, '@performance/hp-arkui-remove-container-without-property': 9, '@performance/hp-arkui-remove-redundant-state-var': 243, '@performance/hp-arkui-remove-unchanged-state-var': 258, '@performance/hp-arkui-set-cache-count-for-lazyforeach-grid': 1, '@performance/hp-arkui-suggest-use-effectkit-blur': 26, '@performance/hp-arkui-use-reusable-component': 1, '@performance/hp-arkui-use-transition-to-replace-animateto': 2, '@performance/init-list-component': 15, '@performance/js-code-cache-by-precompile-check': 1, '@performance/monitor-invisible-area-in-image-animation': 8, '@performance/multiple-associations-state-var-check': 1, '@performance/reuse-date-instances-check': 18, '@performance/tabs-on-change-check': 5, '@performance/typed-array-check': 1, '@security/no-commented-code': 8}","{'@performance/foreach-index-check': 100, '@performance/hp-arkui-replace-nested-reusable-component-by-builder': 23}",107,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
Image,2,False,"{'@performance/foreach-args-check': 1, '@performance/foreach-index-check': 26, '@performance/hp-arkui-no-state-var-access-in-loop': 18, '@performance/hp-arkui-remove-container-without-property': 1, '@performance/hp-arkui-use-local-var-to-replace-state-var': 12, '@performance/hp-arkui-use-taskpool-for-web-request': 2, '@performance/hp-arkui-use-transition-to-replace-animateto': 1, '@performance/reuse-date-instances-check': 1}","{'@performance/avoid-overusing-custom-component-check': 23, '@performance/hp-arkui-replace-nested-reusable-component-by-builder': 1}",0,False,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
Image,3,False,"{'@performance/foreach-args-check': 1, '@performance/foreach-index-check': 83}",{'@performance/hp-arkui-remove-unchanged-state-var': 1},1,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
Info,1,False,"{'@performance/foreach-args-check': 121, '@performance/foreach-index-check': 1, '@performance/hp-arkui-avoid-empty-callback': 8, '@performance/hp-arkui-remove-container-without-property': 8, '@performance/hp-arkui-remove-redundant-state-var': 158, '@performance/hp-arkui-remove-unchanged-state-var': 180, '@performance/init-list-component': 2, '@performance/multiple-associations-state-var-check': 1}","{'@performance/foreach-index-check': 121, '@performance/hp-arkui-remove-redundant-nest-container': 1}",9,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
ace_ets_module_imageText_api12,1,False,"{'@performance/hp-arkui-avoid-empty-callback': 52, '@performance/hp-arkui-no-state-var-access-in-loop': 27, '@performance/hp-arkui-remove-container-without-property': 35, '@performance/hp-arkui-remove-redundant-state-var': 160, '@performance/hp-arkui-remove-unchanged-state-var': 160}",{'@performance/hp-arkui-remove-redundant-nest-container': 26},26,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
ace_ets_module_nowear_waterflow,1,False,"{'@performance/hp-arkui-avoid-empty-callback': 1, '@performance/hp-arkui-remove-container-without-property': 26, '@performance/hp-arkui-remove-redundant-state-var': 160, '@performance/hp-arkui-remove-unchanged-state-var': 183, '@performance/hp-arkui-set-cache-count-for-lazyforeach-grid': 51, '@performance/hp-arkui-use-reusable-component': 50}",{'@performance/hp-arkui-use-attributeUpdater-control-refresh-scope': 1},0,False,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
ace_ets_module_swiper,1,False,"{'@performance/hp-arkui-avoid-empty-callback': 1, '@performance/hp-arkui-remove-container-without-property': 9, '@performance/hp-arkui-remove-redundant-state-var': 53, '@performance/hp-arkui-remove-unchanged-state-var': 44, '@performance/hp-arkui-set-cache-count-for-lazyforeach-grid': 88, '@performance/hp-arkui-use-onAnimationStart-for-swiper-preload': 124, '@performance/hp-arkui-use-reusable-component': 138}",{'@performance/hp-arkui-no-func-as-arg-for-reusable-component': 21},40,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
ace_ets_module_swiper,2,False,{'@performance/hp-arkui-no-func-as-arg-for-reusable-component': 21},{'@performance/hp-arkui-use-reusable-component': 21},19,True,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
ace_ets_module_swiper,3,False,{'@performance/hp-arkui-use-reusable-component': 21},{'@performance/hp-arkui-replace-nested-reusable-component-by-builder': 1},0,False,Same-file related-family exchanges remain unfinished and cannot promote the candidate to best-valid. Other associations are descriptive only.
