project,evidence_source,development_exposed,selection_reason,source_provider,namespace,commit,tree_oid,nonblank_source_loc,initial_alert_density_per_nonblank_kloc,alert_volume_stratum,initial_alerts,final_alerts,eliminated_alerts,remaining_alerts,introduced_alerts,net_reduction,gross_elimination_rate,net_reduction_rate,validation_scans,maximum_validation_scans,best_valid_round,last_valid_round,final_selection_status,build_status,test_status,input_tokens,cached_input_tokens,output_tokens,total_tokens,api_cost,wall_clock_seconds,guide_rules_required,guide_rules_trace_accessed,guide_access_complete,run_manifest_path,run_manifest_sha256
CanvasTest,primary_scheduler,False,top_security,GitCode,OpenHarmony-SIG,bab7df7818c3110903912fe8fbddeca461abe3f3,8a17b5a1c3d70beca12e743e8bcff23fa179f9c3,798,28.82205513784461,lt_100,23,0,23,0,0,23,1.0,1.0,2,5,2,2,latest_candidate_is_best_valid,not_available,not_run,1441842,1286656,22117,1463959,,513.4970596850035,5,1,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/CanvasTest/run_manifest.json,e4a6654714fe74fd4ba2f5b4d61c54041e88f0dc8375a5293ffaccdd137d99bf
HealthyPotAssistant,primary_scheduler,False,top_security,existing_upstream_checkout,OpenHarmony-SIG,10305e89a57ddfba5909ad55028251bf36933b4c,caa44304b85cbc69d4737fe55842658cba3355af,1114,50.269299820466784,lt_100,56,0,56,0,0,56,1.0,1.0,3,5,3,3,latest_candidate_is_best_valid,not_available,not_run,403339,350720,7543,410882,,187.11329077300616,10,2,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/HealthyPotAssistant/run_manifest.json,5aed9e21b5990bf0814346b019d68d38296d8a7491fa5ec16b1f61ef321786cd
Image,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,0e5669440d9a2896dacc40c5afbe3de9f4d20b59,0546fcdacd4a79719ea7e06f5f1b13e417659fb9,82526,14.480285001090566,ge_500,1195,8,1188,7,1,1187,0.994142259414226,0.9933054393305439,5,5,5,5,latest_candidate_is_best_valid,not_available,not_run,83863292,79440896,474846,84338138,,5297.187895253999,22,6,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/Image/run_manifest.json,0daca48088f505e066f6a8ce5a8843a9602170637133801da8be24885c2ba512
Info,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,0e5669440d9a2896dacc40c5afbe3de9f4d20b59,ddb3917a7ecd87bd78c2e1ca8cf8b9801d3702cc,31951,15.179493599574348,100_to_499,485,0,485,0,0,485,1.0,1.0,4,5,4,4,latest_candidate_is_best_valid,not_available,not_run,7066927,6542848,78111,7145038,,1315.8354441170231,9,7,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/Info/run_manifest.json,851aca7e5d67eb7971902018123bf0b202c564b81bfa0dac7a2f03e0ea0b2780
JS_dialog_box_static,primary_scheduler,False,top_total,GitCode,OpenHarmony,0e1b66cb7dcfd4c77d3caab43bcbdb2c61a2ab3b,8f9040255af55811b6364211cbc99b0682aacc9e,1503,66.53359946773121,100_to_499,100,0,100,0,0,100,1.0,1.0,1,5,1,1,latest_candidate_is_best_valid,not_available,not_run,1638752,1469440,30414,1669166,,338.67024961998686,3,0,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/JS_dialog_box_static/run_manifest.json,053093bab2c1adfbeb4ccffc9dfe9ed5d38e863e8f097c3525e995ed5c1cd44f
PullLinking,primary_scheduler,False,top_security,GitCode,OpenHarmony,f10120f8787d0c5c48c81dab380b2d72f155e46e,5f18826b48c009aee34990277f065b229029864e,1548,0.6459948320413437,lt_100,1,0,1,0,0,1,1.0,1.0,1,5,1,1,latest_candidate_is_best_valid,not_available,not_run,409034,363776,5867,414901,,149.8210027429741,1,1,True,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/PullLinking/run_manifest.json,8f33a0b160e63dfc786d874880d4cf444ab5293a4044c16c641ae0320dbe9be9
TextComponentTest,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,0e5669440d9a2896dacc40c5afbe3de9f4d20b59,7d19cd51267a23dfa012f0591c6deee0c5d225e3,46158,15.793578577927986,ge_500,729,0,729,0,0,729,1.0,1.0,2,5,2,2,latest_candidate_is_best_valid,passed,not_run,3259921,3022848,37174,3297095,,483.74833895702614,6,2,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/TextComponentTest/run_manifest.json,1abeb953dbd5c519d228dee97a22fa32809abf650a249e7db18b11fb60e62ffb
YFree_HarmonyOS,primary_scheduler,False,top_security,existing_upstream_checkout,OpenHarmony-SIG,524289b349c39d73d8436be6da9d6302ae628c49,fc15ad6c2b43ddf3bbca48ca4ba369b233cdaffe,1499,26.6844563042028,lt_100,40,0,40,0,0,40,1.0,1.0,2,5,2,2,latest_candidate_is_best_valid,not_available,not_run,3142893,2877184,51066,3193959,,953.7626088839606,4,4,True,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/YFree_HarmonyOS/run_manifest.json,1b187f62114a5b820a88e0bfb32b148030cf20d2b087d55833651c17c3c3ad2e
ace_ets_component_common_attrss_flex001,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,b79ac40f940b84c4077f7d393670a7f57cac10d3,65f802f7f7c0b26d799a79694582f5249b18a232,4898,14.699877501020826,lt_100,72,0,72,0,0,72,1.0,1.0,1,5,1,1,latest_candidate_is_best_valid,not_available,not_run,2953719,2734592,48680,3002399,,607.0074252439663,3,1,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ace_ets_component_common_attrss_flex001/run_manifest.json,a156e4cc12a6d592e9851f5551d074fe8e0fd3220ea544e1fc914fc1e9a4a7cc
ace_ets_component_common_attrss_flex_nowear,primary_scheduler,False,top_total,existing_upstream_checkout,OpenHarmony,b79ac40f940b84c4077f7d393670a7f57cac10d3,24cd914756ced09acbc67eba8bc5eb416316bbaf,4777,15.072221059242201,lt_100,72,0,72,0,0,72,1.0,1.0,1,5,1,1,latest_candidate_is_best_valid,not_available,not_run,3411480,3162624,44495,3455975,,555.3319111760356,3,1,False,/home/zhihao/hdd/haprepair/baseline_data/exp_hapskill/runs/exp_hapskill_35_luna_v14_namespace_export_safe_01/hapskill/ace_ets_component_common_attrss_flex_nowear/run_manifest.json,04237a343a6a903d64c30538091a08cedd5efd78e7d1995271c5d6aa23e1dbed
