rule,category,project_count,initial_alerts,final_alerts,eliminated_alerts,remaining_alerts,introduced_alerts,net_reduction,gross_elimination_rate,net_reduction_rate
@performance/avoid-overusing-custom-component-check,performance,9,187,0,187,0,0,187,1.0,1.0
@performance/constant-property-referencing-check-in-loops,performance,2,2,0,2,0,0,2,1.0,1.0
@performance/dark-color-mode-check,performance,8,12,0,12,0,0,12,1.0,1.0
@performance/foreach-args-check,performance,5,371,3,368,3,0,368,0.9919137466307277,0.9919137466307277
@performance/foreach-index-check,performance,4,16,1,16,0,1,15,1.0,0.9375
@performance/high-frequency-log-check,performance,2,4,0,4,0,0,4,1.0,1.0
@performance/hp-arkts-no-use-any-export-other,performance,3,47,30,17,30,0,17,0.3617021276595745,0.3617021276595745
@performance/hp-arkui-avoid-empty-callback,performance,21,192,0,192,0,0,192,1.0,1.0
@performance/hp-arkui-combine-same-arg-animateto,performance,1,1,0,1,0,0,1,1.0,1.0
@performance/hp-arkui-image-async-load,performance,3,6,0,6,0,0,6,1.0,1.0
@performance/hp-arkui-load-on-demand,performance,1,1,0,1,0,0,1,1.0,1.0
@performance/hp-arkui-no-state-var-access-in-loop,performance,12,426,0,426,0,0,426,1.0,1.0
@performance/hp-arkui-no-stringify-in-lazyforeach-key-generator,performance,2,6,0,6,0,0,6,1.0,1.0
@performance/hp-arkui-remove-container-without-property,performance,26,662,0,662,0,0,662,1.0,1.0
@performance/hp-arkui-remove-redundant-nest-container,performance,8,15,1,14,1,0,14,0.9333333333333333,0.9333333333333333
@performance/hp-arkui-remove-redundant-state-var,performance,31,2815,0,2815,0,0,2815,1.0,1.0
@performance/hp-arkui-remove-unchanged-state-var,performance,33,3023,0,3023,0,0,3023,1.0,1.0
@performance/hp-arkui-set-cache-count-for-lazyforeach-grid,performance,7,274,0,274,0,0,274,1.0,1.0
@performance/hp-arkui-suggest-reuseid-for-if-else-reusable-component,performance,1,0,1,0,0,1,-1,,
@performance/hp-arkui-suggest-use-effectkit-blur,performance,3,28,0,28,0,0,28,1.0,1.0
@performance/hp-arkui-use-grid-layout-options,performance,1,1,0,1,0,0,1,1.0,1.0
@performance/hp-arkui-use-id-in-get-resource-sync-api,performance,4,7,0,7,0,0,7,1.0,1.0
@performance/hp-arkui-use-local-var-to-replace-state-var,performance,5,451,0,451,0,0,451,1.0,1.0
@performance/hp-arkui-use-onAnimationStart-for-swiper-preload,performance,3,245,0,245,0,0,245,1.0,1.0
@performance/hp-arkui-use-reusable-component,performance,8,370,0,370,0,0,370,1.0,1.0
@performance/hp-arkui-use-row-column-to-replace-flex,performance,6,40,0,40,0,0,40,1.0,1.0
@performance/hp-arkui-use-taskpool-for-web-request,performance,1,2,0,2,0,0,2,1.0,1.0
@performance/hp-arkui-use-transition-to-replace-animateto,performance,2,5,0,5,0,0,5,1.0,1.0
@performance/hp-arkui-use-word-break-to-replace-zero-width-space,performance,1,1,0,1,0,0,1,1.0,1.0
@performance/hp-performance-no-closures,performance,4,76,0,76,0,0,76,1.0,1.0
@performance/hp-performance-no-dynamic-cls-func,performance,2,17,0,17,0,0,17,1.0,1.0
@performance/init-list-component,performance,6,27,0,27,0,0,27,1.0,1.0
@performance/js-code-cache-by-precompile-check,performance,3,3,0,3,0,0,3,1.0,1.0
@performance/monitor-invisible-area-in-image-animation,performance,1,8,0,8,0,0,8,1.0,1.0
@performance/multiple-associations-state-var-check,performance,6,23,0,23,0,0,23,1.0,1.0
@performance/reuse-date-instances-check,performance,4,28,0,28,0,0,28,1.0,1.0
@performance/tabs-on-change-check,performance,1,5,0,5,0,0,5,1.0,1.0
@performance/typed-array-check,performance,1,1,0,1,0,0,1,1.0,1.0
@performance/waterflow-data-preload-check,performance,1,3,3,0,3,0,0,0.0,0.0
@security/no-commented-code,security,11,398,0,398,0,0,398,1.0,1.0
@security/no-cycle,security,4,84,0,84,0,0,84,1.0,1.0
@security/no-unsafe-hash,security,1,1,0,1,0,0,1,1.0,1.0
