repeat,project,stratum,initial_alerts,skill_status,baseline_status,skill_failure_class,baseline_failure_class,skill_final_alerts_itt,baseline_final_alerts_itt,skill_net_reduction_itt,baseline_net_reduction_itt,skill_introduced_alerts_itt,baseline_introduced_alerts_itt,final_alert_benefit,net_reduction_benefit,introduced_alert_benefit,acceptable_candidate_benefit
1,CanvasTest,low,23,completed,completed,accepted_candidate,accepted_candidate,0,0,23,23,0,0,0,0,0,0
1,HealthyPotAssistant,low,56,completed,completed,accepted_candidate,accepted_candidate,0,0,56,56,0,0,0,0,0,0
1,Image,high,1195,completed,completed,accepted_candidate,accepted_candidate,5,9,1190,1186,0,8,4,4,8,0
1,Info,high,485,completed,completed,accepted_candidate,accepted_candidate,1,0,484,485,0,0,-1,-1,0,0
1,JS_dialog_box_static,middle,100,completed,completed,accepted_candidate,accepted_candidate,0,0,100,100,0,0,0,0,0,0
1,PullLinking,low,1,completed,completed,accepted_candidate,accepted_candidate,0,0,1,1,0,0,0,0,0,0
1,TextComponentTest,high,729,completed,completed,accepted_candidate,accepted_candidate,0,0,729,729,0,0,0,0,0,0
1,YFree_HarmonyOS,low,40,completed,completed,accepted_candidate,accepted_candidate,0,0,40,40,0,0,0,0,0,0
1,ace_ets_component_common_attrss_flex001,low,72,completed,completed,accepted_candidate,accepted_candidate,0,0,72,72,0,0,0,0,0,0
1,ace_ets_component_common_attrss_flex_nowear,low,72,completed,completed,accepted_candidate,accepted_candidate,0,0,72,72,0,0,0,0,0,0
1,ace_ets_module_RouteManagement_api12,middle,84,completed,completed,accepted_candidate,accepted_candidate,0,0,84,84,0,0,0,0,0,0
1,ace_ets_module_commonAttrsLayout_api11,low,83,completed,completed,accepted_candidate,accepted_candidate,0,0,83,83,0,0,0,0,0,0
1,ace_ets_module_imageText_api12,high,434,completed,completed,accepted_candidate,accepted_candidate,0,0,434,434,0,0,0,0,0,0
1,ace_ets_module_imageText_api16,low,76,completed,completed,accepted_candidate,accepted_candidate,0,0,76,76,0,0,0,0,0,0
1,ace_ets_module_navigation1,middle,89,completed,completed,accepted_candidate,accepted_candidate,0,0,89,89,0,0,0,0,0,0
1,ace_ets_module_navigation_api12,high,452,completed,completed,accepted_candidate,accepted_candidate,0,0,452,452,0,0,0,0,0,0
1,ace_ets_module_nowear_waterflow,high,471,completed,completed,accepted_candidate,accepted_candidate,0,0,471,471,0,0,0,0,0,0
1,ace_ets_module_router1,middle,99,completed,completed,accepted_candidate,accepted_candidate,0,0,99,99,0,0,0,0,0,0
1,ace_ets_module_scroll_nowear_api12,high,410,completed,completed,accepted_candidate,accepted_candidate,0,0,410,410,0,0,0,0,0,0
1,ace_ets_module_swiper,high,457,completed,completed,accepted_candidate,accepted_candidate,40,0,417,457,0,0,-40,-40,0,0
1,ace_ets_module_swiper_api11,high,392,completed,completed,accepted_candidate,accepted_candidate,0,0,392,392,0,0,0,0,0,0
1,acts_validator,high,1122,completed,completed,accepted_candidate,accepted_candidate,1,1,1121,1121,1,1,0,0,0,0
1,applications_permission_manager,low,80,completed,failed,accepted_candidate,structural_or_api_guard_exhaustion,1,80,79,0,0,0,79,79,0,1
1,applications_photos,middle,96,completed,completed,accepted_candidate,accepted_candidate,4,0,92,96,4,0,-4,-4,-4,0
1,applications_systemui,low,74,completed,failed,accepted_candidate,structural_or_api_guard_exhaustion,0,74,74,0,0,0,74,74,0,1
1,asn1_ber,middle,325,completed,completed,accepted_candidate,accepted_candidate,0,0,325,325,0,0,0,0,0,0
1,audio_suite,middle,214,completed,failed,accepted_candidate,structural_or_api_guard_exhaustion,0,214,214,0,0,0,214,214,0,1
1,bluetoothtest,high,493,completed,completed,accepted_candidate,accepted_candidate,0,0,493,493,0,0,0,0,0,0
1,cameraAnimSample,low,11,completed,completed,accepted_candidate,accepted_candidate,0,0,11,11,0,0,0,0,0,0
