result_kind,order,judge_blind_id,source_blind_id,category,rule,author_1_label,author_2_label,agreement,adjudicated_label,final_label,strict_correct
human_candidate,1,JDG-001,V14-045,performance,@performance/typed-array-check,Correct,Correct,True,,Correct,True
human_candidate,2,JDG-002,V14-022,security,@security/no-unsafe-sm2-key,Correct,Correct,True,,Correct,True
human_candidate,3,JDG-003,V14-027,performance,@performance/hp-arkui-use-transition-to-replace-animateto,Correct,Correct,True,,Correct,True
human_candidate,4,JDG-004,V14-038,performance,@performance/hp-arkui-avoid-empty-callback,Correct,Correct,True,,Correct,True
human_candidate,5,JDG-005,V14-063,performance,@performance/hp-arkui-reduce-pan-gesture-distance,Correct,Correct,True,,Correct,True
human_candidate,6,JDG-006,V14-056,performance,@performance/hp-arkui-no-func-as-arg-for-reusable-component,Correct,Correct,True,,Correct,True
human_candidate,7,JDG-007,V14-012,performance,@performance/hp-arkts-no-use-any-export-other,Correct,Correct,True,,Correct,True
human_candidate,8,JDG-008,V14-007,performance,@performance/hp-arkui-remove-container-without-property,Correct,Correct,True,,Correct,True
human_candidate,9,JDG-009,V14-036,performance,@performance/hp-arkui-load-on-demand,Correct,Correct,True,,Correct,True
human_candidate,10,JDG-010,V14-010,performance,@performance/sparse-array-check,Correct,Correct,True,,Correct,True
human_candidate,11,JDG-011,V14-018,performance,@performance/hp-arkui-use-object-link-to-replace-prop,Correct,Correct,True,,Correct,True
human_candidate,12,JDG-012,V14-040,performance,@performance/foreach-args-check,Correct,Correct,True,,Correct,True
human_candidate,13,JDG-013,V14-041,performance,@performance/hp-arkui-use-local-var-to-replace-state-var,Correct,Correct,True,,Correct,True
human_candidate,14,JDG-014,V14-033,performance,@performance/number-init-check,Correct,Correct,True,,Correct,True
human_candidate,15,JDG-015,V14-021,security,@security/no-unsafe-kdf,Correct,Correct,True,,Correct,True
human_candidate,16,JDG-016,V14-059,security,@security/no-unsafe-dsa,Correct,Correct,True,,Correct,True
human_candidate,17,JDG-017,V14-044,performance,@performance/hp-arkui-remove-unchanged-state-var,Correct,Correct,True,,Correct,True
human_candidate,18,JDG-018,V14-003,security,@security/no-unsafe-sm4,Correct,Correct,True,,Correct,True
human_candidate,19,JDG-019,V14-017,performance,@performance/hp-arkts-no-use-any-export-current,Correct,Correct,True,,Correct,True
human_candidate,20,JDG-020,V14-031,security,@security/no-unsafe-ecdsa,Correct,Correct,True,,Correct,True
human_candidate,21,JDG-021,V14-024,security,@security/no-unsafe-rsa-key,Correct,Correct,True,,Correct,True
