order,source_blind_id,category,rule,source_package,source_judge_blind_id,author_1_label,author_2_label,agreement,adjudicated_label,final_label,strict_correct
1,V14-045,performance,@performance/typed-array-check,exp_indep_final_static_blind_01,JDG-001,Correct,Correct,True,,Correct,True
2,V14-022,security,@security/no-unsafe-sm2-key,exp_indep_final_static_blind_01,JDG-002,Correct,Correct,True,,Correct,True
3,V14-027,performance,@performance/hp-arkui-use-transition-to-replace-animateto,exp_indep_final_static_blind_01,JDG-003,Correct,Correct,True,,Correct,True
4,V14-038,performance,@performance/hp-arkui-avoid-empty-callback,exp_indep_final_static_blind_01,JDG-004,Correct,Correct,True,,Correct,True
5,V14-063,performance,@performance/hp-arkui-reduce-pan-gesture-distance,exp_indep_final_static_blind_01,JDG-005,Correct,Correct,True,,Correct,True
6,V14-056,performance,@performance/hp-arkui-no-func-as-arg-for-reusable-component,exp_indep_final_static_blind_01,JDG-006,Correct,Correct,True,,Correct,True
7,V14-012,performance,@performance/hp-arkts-no-use-any-export-other,exp_indep_final_static_blind_01,JDG-007,Correct,Correct,True,,Correct,True
8,V14-007,performance,@performance/hp-arkui-remove-container-without-property,exp_indep_final_static_blind_01,JDG-008,Correct,Correct,True,,Correct,True
9,V14-036,performance,@performance/hp-arkui-load-on-demand,exp_indep_final_static_blind_01,JDG-009,Correct,Correct,True,,Correct,True
10,V14-010,performance,@performance/sparse-array-check,exp_indep_final_static_blind_01,JDG-010,Correct,Correct,True,,Correct,True
11,V14-018,performance,@performance/hp-arkui-use-object-link-to-replace-prop,exp_indep_final_static_blind_01,JDG-011,Correct,Correct,True,,Correct,True
12,V14-040,performance,@performance/foreach-args-check,exp_indep_final_static_blind_01,JDG-012,Correct,Correct,True,,Correct,True
13,V14-041,performance,@performance/hp-arkui-use-local-var-to-replace-state-var,exp_indep_final_static_blind_01,JDG-013,Correct,Correct,True,,Correct,True
14,V14-033,performance,@performance/number-init-check,exp_indep_final_static_blind_01,JDG-014,Correct,Correct,True,,Correct,True
15,V14-021,security,@security/no-unsafe-kdf,exp_indep_final_static_blind_01,JDG-015,Correct,Correct,True,,Correct,True
16,V14-059,security,@security/no-unsafe-dsa,exp_indep_final_static_blind_01,JDG-016,Correct,Correct,True,,Correct,True
17,V14-044,performance,@performance/hp-arkui-remove-unchanged-state-var,exp_indep_final_static_blind_01,JDG-017,Correct,Correct,True,,Correct,True
18,V14-003,security,@security/no-unsafe-sm4,exp_indep_final_static_blind_01,JDG-018,Correct,Correct,True,,Correct,True
19,V14-017,performance,@performance/hp-arkts-no-use-any-export-current,exp_indep_final_static_blind_01,JDG-019,Correct,Correct,True,,Correct,True
20,V14-031,security,@security/no-unsafe-ecdsa,exp_indep_final_static_blind_01,JDG-020,Correct,Correct,True,,Correct,True
21,V14-024,security,@security/no-unsafe-rsa-key,exp_indep_final_static_blind_01,JDG-021,Correct,Correct,True,,Correct,True
22,V14-035,security,@security/no-cycle,exp_indep_final_static_blind_01,JDG-022,Correct,Correct,True,,Correct,True
23,V14-025,performance,@performance/hp-arkui-image-async-load,exp_indep_final_static_blind_01,JDG-023,Correct,Correct,True,,Correct,True
24,V14-037,performance,@performance/js-code-cache-by-precompile-check,exp_indep_final_static_blind_01,JDG-024,Correct,Correct,True,,Correct,True
25,V14-054,security,@security/no-unsafe-dsa-key,exp_indep_final_static_blind_01,JDG-025,Correct,Correct,True,,Correct,True
26,V14-049,performance,@performance/hp-arkui-no-state-var-access-in-loop,exp_indep_final_static_blind_01,JDG-026,Correct,Correct,True,,Correct,True
27,V14-043,performance,@performance/waterflow-data-preload-check,exp_indep_final_static_blind_01,JDG-027,Correct,Correct,True,,Correct,True
28,V14-052,performance,@performance/hp-arkui-remove-redundant-nest-container,exp_indep_final_static_blind_01,JDG-028,Correct,Correct,True,,Correct,True
29,V14-050,security,@security/no-unsafe-sm2-cipher,exp_indep_final_static_blind_01,JDG-029,Correct,Correct,True,,Correct,True
30,V14-061,performance,@performance/hp-arkui-suggest-reuseid-for-if-else-reusable-component,exp_indep_final_static_blind_01,JDG-030,Correct,Correct,True,,Correct,True
31,V14-015,security,@security/no-commented-code,exp_indep_final_static_blind_01,JDG-031,Correct,Correct,True,,Correct,True
32,V14-051,performance,@performance/hp-arkui-use-reusable-component,exp_indep_final_static_blind_01,JDG-032,Correct,Correct,True,,Correct,True
33,V14-062,arkts_eslint,@hw-ets-eslint/init-list-component,exp_indep_final_static_blind_01,JDG-033,Correct,Correct,True,,Correct,True
34,V14-048,performance,@performance/reuse-date-instances-check,exp_indep_final_static_blind_01,JDG-034,Correct,Correct,True,,Correct,True
35,V14-039,security,@security/no-unsafe-aes,exp_indep_final_static_blind_01,JDG-035,Correct,Correct,True,,Correct,True
36,V14-034,performance,@performance/multiple-associations-state-var-check,exp_indep_final_static_blind_01,JDG-036,Correct,Correct,True,,Correct,True
37,V14-028,security,@security/no-unsafe-huks,exp_indep_final_static_blind_01,JDG-037,Correct,Correct,True,,Correct,True
38,V14-046,performance,@performance/lottie-animation-destroy-check,exp_indep_final_static_blind_01,JDG-038,Correct,Correct,True,,Correct,True
39,V14-005,security,@security/no-unsafe-dh-key,exp_indep_final_static_blind_01,JDG-039,Correct,Correct,True,,Correct,True
40,V14-026,performance,@performance/hp-arkui-avoid-update-auto-state-var-in-aboutToReuse,exp_indep_final_static_blind_01,JDG-040,Correct,Correct,True,,Correct,True
41,V14-006,security,@security/no-unsafe-dh,exp_indep_final_static_blind_01,JDG-041,Correct,Correct,True,,Correct,True
42,V14-057,security,@security/no-unsafe-3des,exp_indep_final_static_blind_01,JDG-042,Correct,Correct,True,,Correct,True
43,V14-020,performance,@performance/hp-arkui-no-stringify-in-lazyforeach-key-generator,exp_indep_final_static_blind_01,JDG-043,Correct,Correct,True,,Correct,True
44,V14-055,performance,@performance/no-high-loaded-frame-rate-range,exp_indep_final_static_blind_01,JDG-044,Correct,Correct,True,,Correct,True
45,V14-004,security,@security/no-unsafe-mac,exp_indep_final_static_blind_01,JDG-045,Correct,Correct,True,,Correct,True
46,V14-047,performance,@performance/timezone-interface-check,exp_indep_final_static_blind_01,JDG-046,Correct,Correct,True,,Correct,True
47,V14-008,performance,@performance/high-frequency-log-check,exp_indep_final_static_blind_01,JDG-047,Correct,Correct,True,,Correct,True
48,V14-013,performance,@performance/foreach-index-check,exp_indep_final_static_blind_01,JDG-048,Correct,Correct,True,,Correct,True
49,V14-060,security,@security/no-unsafe-rsa-sign,exp_indep_final_static_blind_01,JDG-049,Correct,Correct,True,,Correct,True
50,V14-053,security,@security/no-unsafe-hash,exp_indep_final_static_blind_01,JDG-050,Correct,Correct,True,,Correct,True
51,V14-058,performance,@performance/hp-arkui-remove-redundant-state-var,exp_indep_final_static_blind_01,JDG-051,Correct,Correct,True,,Correct,True
52,V14-002,performance,@performance/hp-performance-no-closures,exp_indep_final_static_blind_01,JDG-052,Correct,Correct,True,,Correct,True
53,V14-023,performance,@performance/hp-arkui-use-row-column-to-replace-flex,exp_indep_final_static_blind_01,JDG-053,Correct,Correct,True,,Correct,True
54,V14-011,performance,@performance/hp-arkui-set-cache-count-for-lazyforeach-grid,exp_indep_final_static_blind_01,JDG-054,Correct,Correct,True,,Correct,True
55,V14-016,performance,@performance/dark-color-mode-check,exp_indep_final_static_blind_01,JDG-055,Correct,Correct,True,,Correct,True
