rule,namespace,category,pair_count,strict_same_rule_rag_holdout_possible_by_count,candidate_component_count_0_80,candidate_component_count_0_85,candidate_component_count_0_90,candidate_component_count_0_95
@hw-ets-eslint/init-list-component,hw-ets-eslint,other,1,False,1,1,1,1
@performance/avoid-overusing-custom-component-check,performance,performance,1,False,1,1,1,1
@performance/constant-property-referencing-check-in-loops,performance,performance,17,True,17,17,17,17
@performance/dark-color-mode-check,performance,performance,1,False,1,1,1,1
@performance/foreach-args-check,performance,performance,23,True,13,20,21,21
@performance/foreach-index-check,performance,performance,1,False,1,1,1,1
@performance/high-frequency-log-check,performance,performance,20,True,8,15,17,20
@performance/hp-arkts-no-use-any-export-current,performance,performance,3,True,3,3,3,3
@performance/hp-arkts-no-use-any-export-other,performance,performance,3,True,3,3,3,3
@performance/hp-arkui-avoid-empty-callback,performance,performance,5,True,4,5,5,5
@performance/hp-arkui-avoid-update-auto-state-var-in-aboutToReuse,performance,performance,3,True,2,3,3,3
@performance/hp-arkui-combine-same-arg-animateto,performance,performance,5,True,4,5,5,5
@performance/hp-arkui-image-async-load,performance,performance,3,True,3,3,3,3
@performance/hp-arkui-load-on-demand,performance,performance,8,True,5,6,6,6
@performance/hp-arkui-no-func-as-arg-for-reusable-component,performance,performance,2,True,2,2,2,2
@performance/hp-arkui-no-state-var-access-in-loop,performance,performance,4,True,4,4,4,4
@performance/hp-arkui-no-stringify-in-lazyforeach-key-generator,performance,performance,7,True,6,7,7,7
@performance/hp-arkui-reduce-pan-gesture-distance,performance,performance,2,True,2,2,2,2
@performance/hp-arkui-remove-container-without-property,performance,performance,5,True,5,5,5,5
@performance/hp-arkui-remove-redundant-nest-container,performance,performance,5,True,5,5,5,5
@performance/hp-arkui-remove-redundant-state-var,performance,performance,5,True,5,5,5,5
@performance/hp-arkui-remove-unchanged-state-var,performance,performance,5,True,5,5,5,5
@performance/hp-arkui-set-cache-count-for-lazyforeach-grid,performance,performance,5,True,3,4,5,5
@performance/hp-arkui-suggest-cache-avplayer,performance,performance,3,True,3,3,3,3
@performance/hp-arkui-suggest-reuseid-for-if-else-reusable-component,performance,performance,1,False,1,1,1,1
@performance/hp-arkui-use-grid-layout-options,performance,performance,3,True,2,2,3,3
@performance/hp-arkui-use-local-var-to-replace-state-var,performance,performance,5,True,5,5,5,5
@performance/hp-arkui-use-object-link-to-replace-prop,performance,performance,1,False,1,1,1,1
@performance/hp-arkui-use-reusable-component,performance,performance,6,True,6,6,6,6
@performance/hp-arkui-use-row-column-to-replace-flex,performance,performance,1,False,1,1,1,1
@performance/hp-arkui-use-scale-to-replace-attr-animateto,performance,performance,1,False,1,1,1,1
@performance/hp-arkui-use-transition-to-replace-animateto,performance,performance,1,False,1,1,1,1
@performance/hp-performance-no-closures,performance,performance,1,False,1,1,1,1
@performance/js-code-cache-by-precompile-check,performance,performance,1,False,1,1,1,1
@performance/lottie-animation-destroy-check,performance,performance,15,True,4,6,12,15
@performance/multiple-associations-state-var-check,performance,performance,15,True,14,14,14,15
@performance/no-high-loaded-frame-rate-range,performance,performance,15,True,15,15,15,15
@performance/number-init-check,performance,performance,15,True,15,15,15,15
@performance/reuse-date-instances-check,performance,performance,1,False,1,1,1,1
@performance/sparse-array-check,performance,performance,15,True,13,14,15,15
@performance/timezone-interface-check,performance,performance,8,True,8,8,8,8
@performance/typed-array-check,performance,performance,15,True,15,15,15,15
@performance/waterflow-data-preload-check,performance,performance,20,True,1,2,5,11
@security/no-commented-code,security,security,5,True,5,5,5,5
@security/no-cycle,security,security,11,True,2,7,9,10
@security/no-unsafe-3des,security,security,5,True,4,4,4,4
@security/no-unsafe-aes,security,security,5,True,3,4,4,5
@security/no-unsafe-dh,security,security,5,True,3,3,4,5
@security/no-unsafe-dh-key,security,security,5,True,2,3,3,5
@security/no-unsafe-dsa,security,security,5,True,3,4,4,5
@security/no-unsafe-dsa-key,security,security,5,True,2,2,4,5
@security/no-unsafe-ecdh,security,security,5,True,2,4,4,5
@security/no-unsafe-ecdsa,security,security,5,True,3,4,4,5
@security/no-unsafe-hash,security,security,5,True,2,2,4,4
@security/no-unsafe-huks,security,security,5,True,2,3,4,4
@security/no-unsafe-kdf,security,security,5,True,2,2,2,2
@security/no-unsafe-mac,security,security,5,True,2,2,4,4
@security/no-unsafe-rsa-encrypt,security,security,5,True,3,4,4,5
@security/no-unsafe-rsa-key,security,security,5,True,4,4,4,5
@security/no-unsafe-rsa-sign,security,security,5,True,3,3,3,5
@security/no-unsafe-sm2-cipher,security,security,5,True,3,3,3,4
@security/no-unsafe-sm2-key,security,security,5,True,3,3,4,5
@security/no-unsafe-sm4,security,security,5,True,3,3,3,4
