rule,namespace,category,published_378_pair_count,rule_complete_383_pair_count
@hw-ets-eslint/init-list-component,hw-ets-eslint,other,1,1
@performance/avoid-overusing-custom-component-check,performance,performance,0,1
@performance/constant-property-referencing-check-in-loops,performance,performance,17,17
@performance/dark-color-mode-check,performance,performance,0,1
@performance/foreach-args-check,performance,performance,23,23
@performance/foreach-index-check,performance,performance,0,1
@performance/high-frequency-log-check,performance,performance,20,20
@performance/hp-arkts-no-use-any-export-current,performance,performance,3,3
@performance/hp-arkts-no-use-any-export-other,performance,performance,3,3
@performance/hp-arkui-avoid-empty-callback,performance,performance,5,5
@performance/hp-arkui-avoid-update-auto-state-var-in-aboutToReuse,performance,performance,3,3
@performance/hp-arkui-combine-same-arg-animateto,performance,performance,5,5
@performance/hp-arkui-image-async-load,performance,performance,3,3
@performance/hp-arkui-load-on-demand,performance,performance,8,8
@performance/hp-arkui-no-func-as-arg-for-reusable-component,performance,performance,2,2
@performance/hp-arkui-no-state-var-access-in-loop,performance,performance,4,4
@performance/hp-arkui-no-stringify-in-lazyforeach-key-generator,performance,performance,7,7
@performance/hp-arkui-reduce-pan-gesture-distance,performance,performance,2,2
@performance/hp-arkui-remove-container-without-property,performance,performance,5,5
@performance/hp-arkui-remove-redundant-nest-container,performance,performance,5,5
@performance/hp-arkui-remove-redundant-state-var,performance,performance,5,5
@performance/hp-arkui-remove-unchanged-state-var,performance,performance,5,5
@performance/hp-arkui-set-cache-count-for-lazyforeach-grid,performance,performance,5,5
@performance/hp-arkui-suggest-cache-avplayer,performance,performance,3,3
@performance/hp-arkui-suggest-reuseid-for-if-else-reusable-component,performance,performance,1,1
@performance/hp-arkui-use-grid-layout-options,performance,performance,3,3
@performance/hp-arkui-use-local-var-to-replace-state-var,performance,performance,5,5
@performance/hp-arkui-use-object-link-to-replace-prop,performance,performance,1,1
@performance/hp-arkui-use-reusable-component,performance,performance,6,6
@performance/hp-arkui-use-row-column-to-replace-flex,performance,performance,1,1
@performance/hp-arkui-use-scale-to-replace-attr-animateto,performance,performance,1,1
@performance/hp-arkui-use-transition-to-replace-animateto,performance,performance,1,1
@performance/hp-performance-no-closures,performance,performance,1,1
@performance/js-code-cache-by-precompile-check,performance,performance,0,1
@performance/lottie-animation-destroy-check,performance,performance,15,15
@performance/multiple-associations-state-var-check,performance,performance,15,15
@performance/no-high-loaded-frame-rate-range,performance,performance,15,15
@performance/number-init-check,performance,performance,15,15
@performance/reuse-date-instances-check,performance,performance,0,1
@performance/sparse-array-check,performance,performance,15,15
@performance/timezone-interface-check,performance,performance,8,8
@performance/typed-array-check,performance,performance,15,15
@performance/waterflow-data-preload-check,performance,performance,20,20
@security/no-commented-code,security,security,5,5
@security/no-cycle,security,security,11,11
@security/no-unsafe-3des,security,security,5,5
@security/no-unsafe-aes,security,security,5,5
@security/no-unsafe-dh,security,security,5,5
@security/no-unsafe-dh-key,security,security,5,5
@security/no-unsafe-dsa,security,security,5,5
@security/no-unsafe-dsa-key,security,security,5,5
@security/no-unsafe-ecdh,security,security,5,5
@security/no-unsafe-ecdsa,security,security,5,5
@security/no-unsafe-hash,security,security,5,5
@security/no-unsafe-huks,security,security,5,5
@security/no-unsafe-kdf,security,security,5,5
@security/no-unsafe-mac,security,security,5,5
@security/no-unsafe-rsa-encrypt,security,security,5,5
@security/no-unsafe-rsa-key,security,security,5,5
@security/no-unsafe-rsa-sign,security,security,5,5
@security/no-unsafe-sm2-cipher,security,security,5,5
@security/no-unsafe-sm2-key,security,security,5,5
@security/no-unsafe-sm4,security,security,5,5
